"bins","scores","probability","scenario"
"(0,1]",0.925267416262773,0.925267416262773,"SSP1-1.9"
"(1,1.5]",0.0747325837372267,0.0747325837372267,"SSP1-1.9"
"(0,1]",0.740942159755989,0.740942159755989,"SSP1-2.6"
"(1,1.5]",0.259057840244011,0.259057840244011,"SSP1-2.6"
"(0,1]",0.145104815963763,0.145104815963763,"SSP2-4.5"
"(1,1.5]",0.781446227233338,0.781446227233338,"SSP2-4.5"
"(1.5,2]",0.0734489568028992,0.0734489568028992,"SSP2-4.5"
"(0,1]",0.00778926551386543,0.00778926551386543,"SSP3-7.0"
"(1,1.5]",0.877616438546145,0.877616438546145,"SSP3-7.0"
"(1.5,2]",0.114594295939989,0.114594295939989,"SSP3-7.0"
"(1,1.5]",0.278919998592768,0.278919998592768,"SSP5-8.5"
"(1.5,2]",0.64939928850413,0.64939928850413,"SSP5-8.5"
"(2,2.5]",0.0716807129031023,0.0716807129031023,"SSP5-8.5"
