"bins","scores","probability","scenario"
"(0,1]",0.925273605524957,0.925273605524957,"SSP1-1.9"
"(1,1.5]",0.074726394475043,0.074726394475043,"SSP1-1.9"
"(0,1]",0.25455625980018,0.25455625980018,"SSP1-2.6"
"(1,1.5]",0.670465537886311,0.670465537886311,"SSP1-2.6"
"(1.5,2]",0.0749782023135084,0.0749782023135084,"SSP1-2.6"
"(1,1.5]",0.00682592830510524,0.00682592830510524,"SSP2-4.5"
"(1.5,2]",0.304340556972568,0.304340556972568,"SSP2-4.5"
"(2,2.5]",0.614236771596532,0.614236771596532,"SSP2-4.5"
"(2.5,3]",0.0745967431257947,0.0745967431257947,"SSP2-4.5"
"(1.5,2]",0.00217951494924218,0.00217951494924218,"SSP3-7.0"
"(2,2.5]",0.01888558119248,0.01888558119248,"SSP3-7.0"
"(2.5,3]",0.321347601871257,0.321347601871257,"SSP3-7.0"
"(3,3.5]",0.582074605426,0.582074605426,"SSP3-7.0"
"(3.5,4]",0.0301067580764577,0.0301067580764577,"SSP3-7.0"
"(4,4.5]",0.0454059384845625,0.0454059384845625,"SSP3-7.0"
"(2.5,3]",0.0078137864927941,0.0078137864927941,"SSP5-8.5"
"(3,3.5]",0.155971457576124,0.155971457576124,"SSP5-8.5"
"(3.5,4]",0.222296628389704,0.222296628389704,"SSP5-8.5"
"(4,4.5]",0.541106416186256,0.541106416186256,"SSP5-8.5"
"(4.5,Inf]",0.072811711355122,0.072811711355122,"SSP5-8.5"
