"bins","scores","probability","scenario"
"(0,1]",0.941752023520041,0.941752023520041,"SSP1-1.9"
"(1,1.5]",0.0582479764799588,0.0582479764799588,"SSP1-1.9"
"(0,1]",0.736056842928886,0.736056842928886,"SSP1-2.6"
"(1,1.5]",0.263943157071114,0.263943157071114,"SSP1-2.6"
"(0,1]",0.0434626719397436,0.0434626719397436,"SSP2-4.5"
"(1,1.5]",0.906352677284292,0.906352677284292,"SSP2-4.5"
"(1.5,2]",0.0501846507759639,0.0501846507759639,"SSP2-4.5"
"(0,1]",0.0153454519889578,0.0153454519889578,"SSP3-7.0"
"(1,1.5]",0.869727401133693,0.869727401133693,"SSP3-7.0"
"(1.5,2]",0.114927146877349,0.114927146877349,"SSP3-7.0"
"(1,1.5]",0.197701635736709,0.197701635736709,"SSP5-8.5"
"(1.5,2]",0.753525545267495,0.753525545267495,"SSP5-8.5"
"(2,2.5]",0.0487728189957957,0.0487728189957957,"SSP5-8.5"
