"bins","scores","probability","scenario"
"(0,1]",874,0.874,"SSP1-1.9"
"(1,1.5]",116,0.116,"SSP1-1.9"
"(1.5,2]",9,0.009,"SSP1-1.9"
"(2,2.5]",1,0.001,"SSP1-1.9"
"(0,1]",466,0.466,"SSP1-2.6"
"(1,1.5]",441,0.441,"SSP1-2.6"
"(1.5,2]",83,0.083,"SSP1-2.6"
"(2,2.5]",9,0.009,"SSP1-2.6"
"(2.5,3]",1,0.001,"SSP1-2.6"
"(0,1]",4,0.004,"SSP2-4.5"
"(1,1.5]",126,0.126,"SSP2-4.5"
"(1.5,2]",466,0.466,"SSP2-4.5"
"(2,2.5]",307,0.307,"SSP2-4.5"
"(2.5,3]",85,0.085,"SSP2-4.5"
"(3,3.5]",9,0.009,"SSP2-4.5"
"(3.5,4]",3,0.003,"SSP2-4.5"
"(1,1.5]",1,0.00100200400801603,"SSP3-7.0"
"(1.5,2]",33,0.0330661322645291,"SSP3-7.0"
"(2,2.5]",203,0.203406813627255,"SSP3-7.0"
"(2.5,3]",403,0.403807615230461,"SSP3-7.0"
"(3,3.5]",255,0.255511022044088,"SSP3-7.0"
"(3.5,4]",84,0.0841683366733467,"SSP3-7.0"
"(4,4.5]",16,0.0160320641282565,"SSP3-7.0"
"(4.5,Inf]",3,0.0030060120240481,"SSP3-7.0"
"(1.5,2]",1,0.001,"SSP5-8.5"
"(2,2.5]",17,0.017,"SSP5-8.5"
"(2.5,3]",88,0.088,"SSP5-8.5"
"(3,3.5]",281,0.281,"SSP5-8.5"
"(3.5,4]",316,0.316,"SSP5-8.5"
"(4,4.5]",199,0.199,"SSP5-8.5"
"(4.5,Inf]",98,0.098,"SSP5-8.5"
