"bins","scores","probability","scenario"
"(0,1]",752,0.752,"SSP1-1.9"
"(1,1.5]",240,0.24,"SSP1-1.9"
"(1.5,2]",8,0.008,"SSP1-1.9"
"(0,1]",159,0.159,"SSP1-2.6"
"(1,1.5]",652,0.652,"SSP1-2.6"
"(1.5,2]",179,0.179,"SSP1-2.6"
"(2,2.5]",10,0.01,"SSP1-2.6"
"(0,1]",1,0.001,"SSP2-4.5"
"(1,1.5]",21,0.021,"SSP2-4.5"
"(1.5,2]",327,0.327,"SSP2-4.5"
"(2,2.5]",497,0.497,"SSP2-4.5"
"(2.5,3]",139,0.139,"SSP2-4.5"
"(3,3.5]",14,0.014,"SSP2-4.5"
"(3.5,4]",1,0.001,"SSP2-4.5"
"(1.5,2]",6,0.00601202404809619,"SSP3-7.0"
"(2,2.5]",105,0.105210420841683,"SSP3-7.0"
"(2.5,3]",406,0.406813627254509,"SSP3-7.0"
"(3,3.5]",356,0.356713426853707,"SSP3-7.0"
"(3.5,4]",105,0.105210420841683,"SSP3-7.0"
"(4,4.5]",19,0.0190380761523046,"SSP3-7.0"
"(4.5,Inf]",1,0.00100200400801603,"SSP3-7.0"
"(1.5,2]",1,0.001,"SSP5-8.5"
"(2,2.5]",3,0.003,"SSP5-8.5"
"(2.5,3]",37,0.037,"SSP5-8.5"
"(3,3.5]",196,0.196,"SSP5-8.5"
"(3.5,4]",346,0.346,"SSP5-8.5"
"(4,4.5]",280,0.28,"SSP5-8.5"
"(4.5,Inf]",137,0.137,"SSP5-8.5"
