"bins","scores","probability","scenario"
"(0,1]",0.942978113829635,0.942978113829635,"SSP1-1.9"
"(1,1.5]",0.0570218861703645,0.0570218861703645,"SSP1-1.9"
"(0,1]",0.602047800556616,0.602047800556616,"SSP1-2.6"
"(1,1.5]",0.345863074189858,0.345863074189858,"SSP1-2.6"
"(1.5,2]",0.0520891252535261,0.0520891252535261,"SSP1-2.6"
"(0,1]",0.00215185293402194,0.00215185293402194,"SSP2-4.5"
"(1,1.5]",0.0274470619719974,0.0274470619719974,"SSP2-4.5"
"(1.5,2]",0.52678968401606,0.52678968401606,"SSP2-4.5"
"(2,2.5]",0.390825977500047,0.390825977500047,"SSP2-4.5"
"(2.5,3]",0.0527854235778744,0.0527854235778744,"SSP2-4.5"
"(1.5,2]",0.0100568127935228,0.0100568127935228,"SSP3-7.0"
"(2,2.5]",0.0378427220756503,0.0378427220756503,"SSP3-7.0"
"(2.5,3]",0.52485799073634,0.52485799073634,"SSP3-7.0"
"(3,3.5]",0.37368126348835,0.37368126348835,"SSP3-7.0"
"(3.5,4]",0.00285940885599035,0.00285940885599035,"SSP3-7.0"
"(4,4.5]",0.0507018020501467,0.0507018020501467,"SSP3-7.0"
"(2,2.5]",0.00673304305512808,0.00673304305512808,"SSP5-8.5"
"(2.5,3]",0.00913142354760851,0.00913142354760851,"SSP5-8.5"
"(3,3.5]",0.183224833446827,0.183224833446827,"SSP5-8.5"
"(3.5,4]",0.533483591305549,0.533483591305549,"SSP5-8.5"
"(4,4.5]",0.216066785895544,0.216066785895544,"SSP5-8.5"
"(4.5,Inf]",0.0513603227493437,0.0513603227493437,"SSP5-8.5"
