"run_number","metric_result","scenario"
1,0.930284201392281,"SSP1-1.9"
2,1.08058528240991,"SSP1-1.9"
3,0.960040027533653,"SSP1-1.9"
4,0.745628180611746,"SSP1-1.9"
5,0.930793432422566,"SSP1-1.9"
6,1.14187960439671,"SSP1-1.9"
7,0.506896761929897,"SSP1-1.9"
8,0.273750892184996,"SSP1-1.9"
9,0.91550415294689,"SSP1-1.9"
10,0.494781587005522,"SSP1-1.9"
11,0.709802764321365,"SSP1-1.9"
12,0.644908646705653,"SSP1-1.9"
13,0.609111921212375,"SSP1-1.9"
14,0.409785617869621,"SSP1-1.9"
15,0.36563131863943,"SSP1-1.9"
16,0.404594653698013,"SSP1-1.9"
17,0.615966737208005,"SSP1-1.9"
18,1.06067108333496,"SSP1-1.9"
19,1.13820767147736,"SSP1-1.9"
20,0.778185201454546,"SSP1-1.9"
21,0.65373577130566,"SSP1-1.9"
22,0.48283483676964,"SSP1-1.9"
23,0.875655920234492,"SSP1-1.9"
24,0.63584441358659,"SSP1-1.9"
25,0.588830816026583,"SSP1-1.9"
26,0.612184177555112,"SSP1-1.9"
27,1.17820494877468,"SSP1-1.9"
28,0.713167881711944,"SSP1-1.9"
29,0.713775358829885,"SSP1-1.9"
30,0.741957003426908,"SSP1-1.9"
31,0.885392528937883,"SSP1-1.9"
32,0.691807896017057,"SSP1-1.9"
33,0.457501137848833,"SSP1-1.9"
34,1.04402623331066,"SSP1-1.9"
35,0.614562318935533,"SSP1-1.9"
36,0.563367219561283,"SSP1-1.9"
37,1.17401548836546,"SSP1-1.9"
38,0.724525119216027,"SSP1-1.9"
39,1.18042242796073,"SSP1-1.9"
40,0.718055912642088,"SSP1-1.9"
41,0.776582628878914,"SSP1-1.9"
42,1.17481660555097,"SSP1-1.9"
43,0.696950361200429,"SSP1-1.9"
44,0.853163265189882,"SSP1-1.9"
45,0.851805811485407,"SSP1-1.9"
46,0.794847518238661,"SSP1-1.9"
47,0.767564884550773,"SSP1-1.9"
48,1.2405000022169,"SSP1-1.9"
49,0.629701064621322,"SSP1-1.9"
50,0.849661501551092,"SSP1-1.9"
51,1.01192243805302,"SSP1-1.9"
52,0.86885776127416,"SSP1-1.9"
53,0.649221775685194,"SSP1-1.9"
54,1.05279918865082,"SSP1-1.9"
55,1.04356543730051,"SSP1-1.9"
56,0.851007762406326,"SSP1-1.9"
57,0.549262402201035,"SSP1-1.9"
58,0.179305373026024,"SSP1-1.9"
59,0.468178008892501,"SSP1-1.9"
60,0.787029079957109,"SSP1-1.9"
61,0.911181153323359,"SSP1-1.9"
62,0.869630470636883,"SSP1-1.9"
63,0.414978443990749,"SSP1-1.9"
64,0.8454104015449,"SSP1-1.9"
65,0.768608390481675,"SSP1-1.9"
66,0.867747428743675,"SSP1-1.9"
67,0.796372195079865,"SSP1-1.9"
68,1.02829268909337,"SSP1-1.9"
