"0","# ini directory "
"0","ini_dir <- paste0(system.file(""input"", package = ""hector""), ""/"")"
"0",""
"0","# read ini files into a list "
"0","ini_list <- list(""SSP1-1.9"" = paste0(ini_dir, ""hector_ssp119.ini""), "
"0","                 ""SSP1-2.6"" = paste0(ini_dir, ""hector_ssp126.ini""), "
"0","                 ""SSP2-4.5"" = paste0(ini_dir, ""hector_ssp245.ini""), "
"0","                 ""SSP3-7.0"" = paste0(ini_dir, ""hector_ssp370.ini""), "
"0","                 ""SSP5-8.5"" = paste0(ini_dir, ""hector_ssp585.ini""))"
"0",""
